CustomerID,Age,Annual_Income_kUSD,Spending_Score,Total_Transactions,Avg_Order_Value,Web_Engagement_Score
CUST-166,36,85,90,48,187.0,9.4
CUST-167,42,86,20,8,59.0,2.7
CUST-168,33,86,95,50,195.0,9.7
CUST-169,36,87,27,11,66.0,3.3
CUST-170,32,87,63,36,145.0,7.8
CUST-171,40,87,13,5,50.0,2.1
CUST-172,28,87,75,41,163.0,8.5
CUST-173,36,87,10,4,45.0,1.8
CUST-174,36,87,92,49,189.0,9.5
CUST-175,52,88,13,5,51.0,2.0
CUST-176,30,88,86,46,181.0,9.1
CUST-177,58,88,15,6,54.0,2.3
CUST-178,27,88,69,38,150.0,8.0
CUST-179,59,93,14,5,53.0,2.2
CUST-180,35,93,90,48,188.0,9.4
CUST-181,37,97,32,13,74.0,3.8
CUST-182,32,97,86,47,183.0,9.2
CUST-183,46,98,15,6,55.0,2.4
CUST-184,29,98,88,48,187.5,9.3
CUST-185,41,99,39,15,82.0,4.3
CUST-186,30,99,97,52,204.0,9.8
CUST-187,54,101,24,9,64.0,3.0
CUST-188,28,101,68,37,148.0,7.9
CUST-189,41,103,17,7,56.0,2.5
CUST-190,32,103,85,46,180.0,9.0
CUST-191,34,103,23,9,63.0,2.8
CUST-192,32,103,69,38,151.0,8.0
CUST-193,33,113,8,3,42.0,1.4
CUST-194,38,113,91,50,193.0,9.6
CUST-195,47,120,16,6,55.0,2.3
CUST-196,35,120,79,44,170.0,8.8
CUST-197,45,126,28,11,70.0,3.5
CUST-198,32,126,74,42,165.0,8.5
CUST-199,32,137,18,7,58.0,2.6
CUST-200,30,137,83,47,185.0,9.2
